# MEAN_SAMPLE_SIZE = 4338
# TOTAL_GENES = 18300
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BIOCARTA_GRANULOCYTES_PATHWAY            SET      15      0.14847    0.0042489      0.22017      0.25005 BIOCARTA_GRANULOCYTES_PATHWAY
BIOCARTA_LYM_PATHWAY                     SET      13      0.31191    0.0083106      0.25214      0.10805 BIOCARTA_LYM_PATHWAY
BIOCARTA_BLYMPHOCYTE_PATHWAY             SET      11      0.52539     0.012878      0.30185     0.040887 BIOCARTA_BLYMPHOCYTE_PATHWAY
BIOCARTA_CARM_ER_PATHWAY                 SET      24      0.20551    0.0074376      0.20427      0.15721 BIOCARTA_CARM_ER_PATHWAY
BIOCARTA_LAIR_PATHWAY                    SET      17   -0.0070858  -0.00021587      0.21031      0.51344 BIOCARTA_LAIR_PATHWAY
BIOCARTA_VDR_PATHWAY                     SET      24    -0.075639   -0.0027375      0.16001      0.68178 BIOCARTA_VDR_PATHWAY
BIOCARTA_MTA3_PATHWAY                    SET      18      0.32048     0.010046      0.19119     0.046858 BIOCARTA_MTA3_PATHWAY
BIOCARTA_GABA_PATHWAY                    SET       9      -0.5323    -0.011802      0.29093      0.96634 BIOCARTA_GABA_PATHWAY
BIOCARTA_EGFR_SMRTE_PATHWAY              SET      11     -0.17827   -0.0043694      0.24958      0.76246 BIOCARTA_EGFR_SMRTE_PATHWAY
BIOCARTA_MONOCYTE_PATHWAY                SET      11      0.27224    0.0066727      0.23586      0.12422 BIOCARTA_MONOCYTE_PATHWAY
BIOCARTA_RARRXR_PATHWAY                  SET       7     -0.15963   -0.0031215      0.27591      0.71855 BIOCARTA_RARRXR_PATHWAY
BIOCARTA_NUCLEARRS_PATHWAY               SET      34     0.036529    0.0015731      0.13923      0.39652 BIOCARTA_NUCLEARRS_PATHWAY
BIOCARTA_RANMS_PATHWAY                   SET      10      -0.2841   -0.0066396      0.25514      0.86725 BIOCARTA_RANMS_PATHWAY
BIOCARTA_TEL_PATHWAY                     SET      17     -0.06113   -0.0018624       0.1833      0.63062 BIOCARTA_TEL_PATHWAY
BIOCARTA_SARS_PATHWAY                    SET       7      0.48803    0.0095433       0.4625      0.14567 BIOCARTA_SARS_PATHWAY
BIOCARTA_PDZS_PATHWAY                    SET      15     -0.20726   -0.0059315      0.20518      0.84378 BIOCARTA_PDZS_PATHWAY
BIOCARTA_RACC_PATHWAY                    SET      13     0.004623   0.00012318      0.25919      0.49288 BIOCARTA_RACC_PATHWAY
BIOCARTA_EICOSANOID_PATHWAY              SET      21    -0.081673   -0.0027652      0.16822      0.68634 BIOCARTA_EICOSANOID_PATHWAY
BIOCARTA_CHREBP_PATHWAY                  SET      19      0.19713    0.0063487      0.18802      0.14723 BIOCARTA_CHREBP_PATHWAY
BIOCARTA_LIS1_PATHWAY                    SET      18      0.26717    0.0083753      0.20723     0.098668 BIOCARTA_LIS1_PATHWAY
BIOCARTA_HSWI_SNF_PATHWAY                SET      12    -0.029343  -0.00075118      0.21036      0.55547 BIOCARTA_HSWI_SNF_PATHWAY
BIOCARTA_PCAF_PATHWAY                    SET      13    0.0042205   0.00011245      0.23046      0.49269 BIOCARTA_PCAF_PATHWAY
BIOCARTA_LYMPHOCYTE_PATHWAY              SET       9      0.42843    0.0094992      0.26339     0.051918 BIOCARTA_LYMPHOCYTE_PATHWAY
BIOCARTA_AMAN_PATHWAY                    SET      15    -0.071117   -0.0020353      0.21492      0.62964 BIOCARTA_AMAN_PATHWAY
BIOCARTA_NEUTROPHIL_PATHWAY              SET       8      0.48754     0.010192      0.26487     0.032843 BIOCARTA_NEUTROPHIL_PATHWAY
BIOCARTA_EFP_PATHWAY                     SET      16      0.30019    0.0088726      0.20585     0.072392 BIOCARTA_EFP_PATHWAY
BIOCARTA_CREM_PATHWAY                    SET       6      -0.3037   -0.0054985      0.31076      0.83578 BIOCARTA_CREM_PATHWAY
BIOCARTA_ERAD_PATHWAY                    SET      19      0.01923   0.00061932      0.15775      0.45149 BIOCARTA_ERAD_PATHWAY
BIOCARTA_BTG2_PATHWAY                    SET      11       0.1576    0.0038628       0.2623      0.27398 BIOCARTA_BTG2_PATHWAY
BIOCARTA_TERT_PATHWAY                    SET       8      0.11145    0.0023299       0.3001      0.35517 BIOCARTA_TERT_PATHWAY
BIOCARTA_GHRELIN_PATHWAY                 SET      13    -0.028019  -0.00074655      0.21142      0.55272 BIOCARTA_GHRELIN_PATHWAY
BIOCARTA_VOBESITY_PATHWAY                SET       8     -0.45148    -0.009438      0.30415      0.93114 BIOCARTA_VOBESITY_PATHWAY
BIOCARTA_ERBB3_PATHWAY                   SET       5     -0.21749   -0.0035946      0.40101      0.70621 BIOCARTA_ERBB3_PATHWAY
BIOCARTA_CTBP1_PATHWAY                   SET       8      0.11548     0.002414      0.24423      0.31817 BIOCARTA_CTBP1_PATHWAY
BIOCARTA_PRION_PATHWAY                   SET      12      0.52452     0.013428      0.23811     0.013811 BIOCARTA_PRION_PATHWAY
BIOCARTA_PLK3_PATHWAY                    SET       8     -0.34396   -0.0071903      0.41625      0.79568 BIOCARTA_PLK3_PATHWAY
BIOCARTA_FXR_PATHWAY                     SET       7     -0.41042   -0.0080257      0.36993      0.86637 BIOCARTA_FXR_PATHWAY
BIOCARTA_MHC_PATHWAY                     SET      11       0.1494    0.0036618      0.26995      0.28999 BIOCARTA_MHC_PATHWAY
BIOCARTA_ACETAMINOPHEN_PATHW...          SET       5      0.13878    0.0022937      0.42233      0.37123 BIOCARTA_ACETAMINOPHEN_PATHWAY
BIOCARTA_PRC2_PATHWAY                    SET      13    -0.019097  -0.00050882      0.24773      0.53072 BIOCARTA_PRC2_PATHWAY
BIOCARTA_SM_PATHWAY                      SET      14      0.21818    0.0060324      0.18589      0.12027 BIOCARTA_SM_PATHWAY
BIOCARTA_RANBP2_PATHWAY                  SET      10     -0.28377   -0.0066319      0.27937      0.84512 BIOCARTA_RANBP2_PATHWAY
BIOCARTA_IRES_PATHWAY                    SET       7      0.10283    0.0020108      0.24729      0.33877 BIOCARTA_IRES_PATHWAY
BIOCARTA_PLC_PATHWAY                     SET       9     -0.26041   -0.0057738       0.2562      0.84529 BIOCARTA_PLC_PATHWAY
BIOCARTA_BBCELL_PATHWAY                  SET       7      0.75056     0.014677       0.3361     0.012778 BIOCARTA_BBCELL_PATHWAY
BIOCARTA_CDC25_PATHWAY                   SET       9      0.34385    0.0076237      0.29784      0.12416 BIOCARTA_CDC25_PATHWAY
BIOCARTA_DSP_PATHWAY                     SET       8      -0.7535    -0.015751      0.36109      0.98153 BIOCARTA_DSP_PATHWAY
BIOCARTA_NPC_PATHWAY                     SET      11     -0.16245   -0.0039818      0.25993        0.734 BIOCARTA_NPC_PATHWAY
BIOCARTA_FLUMAZENIL_PATHWAY              SET       8      0.46998    0.0098246      0.34035     0.083674 BIOCARTA_FLUMAZENIL_PATHWAY
BIOCARTA_MELANOCYTE_PATHWAY              SET       7      0.73888     0.014449      0.31187    0.0089204 BIOCARTA_MELANOCYTE_PATHWAY
BIOCARTA_S1P_PATHWAY                     SET       7   0.00089722   1.7545e-05      0.29716       0.4988 BIOCARTA_S1P_PATHWAY
BIOCARTA_HBX_PATHWAY                     SET       7     0.069725    0.0013635      0.32077      0.41396 BIOCARTA_HBX_PATHWAY
BIOCARTA_MALATEX_PATHWAY                 SET       7    -0.092908   -0.0018168      0.30178       0.6209 BIOCARTA_MALATEX_PATHWAY
BIOCARTA_TSP1_PATHWAY                    SET       7      0.62635     0.012248      0.34366     0.034195 BIOCARTA_TSP1_PATHWAY
BIOCARTA_NPP1_PATHWAY                    SET       8      0.23889    0.0049938      0.28529       0.2012 BIOCARTA_NPP1_PATHWAY
BIOCARTA_CPSF_PATHWAY                    SET       9     -0.19323   -0.0042842      0.25458      0.77607 BIOCARTA_CPSF_PATHWAY
BIOCARTA_HES_PATHWAY                     SET      12     -0.13601   -0.0034818      0.22679      0.72565 BIOCARTA_HES_PATHWAY
BIOCARTA_ERBB4_PATHWAY                   SET       7      0.15604    0.0030513      0.30626       0.3052 BIOCARTA_ERBB4_PATHWAY
BIOCARTA_RHODOPSIN_PATHWAY               SET       9   -0.0019145  -4.2448e-05      0.23835       0.5032 BIOCARTA_RHODOPSIN_PATHWAY
BIOCARTA_RNAPOL3_PATHWAY                 SET       7      0.15141    0.0029608      0.32505      0.32068 BIOCARTA_RNAPOL3_PATHWAY
BIOCARTA_TERC_PATHWAY                    SET       6      -0.2787   -0.0050457      0.26916      0.84976 BIOCARTA_TERC_PATHWAY
BIOCARTA_EOSINOPHILS_PATHWAY             SET       8    -0.029078  -0.00060786       0.2676      0.54326 BIOCARTA_EOSINOPHILS_PATHWAY
BIOCARTA_REELIN_PATHWAY                  SET       7     0.054735    0.0010703      0.33115      0.43436 BIOCARTA_REELIN_PATHWAY
BIOCARTA_BARD1_PATHWAY                   SET       8       0.5507     0.011512      0.33135      0.04827 BIOCARTA_BARD1_PATHWAY
BIOCARTA_LDL_PATHWAY                     SET       6      -0.0385  -0.00069704       0.2942      0.55206 BIOCARTA_LDL_PATHWAY
BIOCARTA_SAM68_PATHWAY                   SET       6     -0.13629   -0.0024675      0.36031      0.64738 BIOCARTA_SAM68_PATHWAY
BIOCARTA_FBW7_PATHWAY                    SET       9     -0.10183   -0.0022578      0.21835      0.67953 BIOCARTA_FBW7_PATHWAY
BIOCARTA_CB1R_PATHWAY                    SET       7     -0.57392    -0.011223      0.33763      0.95541 BIOCARTA_CB1R_PATHWAY
BIOCARTA_SUMO_PATHWAY                    SET       6      0.12102     0.002191      0.30024      0.34345 BIOCARTA_SUMO_PATHWAY
BIOCARTA_IFNA_PATHWAY                    SET       9    -0.033457  -0.00074179      0.25318      0.55256 BIOCARTA_IFNA_PATHWAY
BIOCARTA_PKC_PATHWAY                     SET       7     -0.20857   -0.0040785      0.33635       0.7324 BIOCARTA_PKC_PATHWAY
BIOCARTA_PPARG_PATHWAY                   SET       8     -0.19014   -0.0039747      0.33309      0.71594 BIOCARTA_PPARG_PATHWAY
BIOCARTA_ION_PATHWAY                     SET       5     -0.36519   -0.0060358      0.34418      0.85566 BIOCARTA_ION_PATHWAY
BIOCARTA_PELP1_PATHWAY                   SET       6      0.30793     0.005575      0.42516      0.23446 BIOCARTA_PELP1_PATHWAY
BIOCARTA_STAT3_PATHWAY                   SET       8     -0.41618   -0.0086999      0.31605      0.90604 BIOCARTA_STAT3_PATHWAY
BIOCARTA_EEA1_PATHWAY                    SET       7     0.068114     0.001332      0.38926      0.43055 BIOCARTA_EEA1_PATHWAY
BIOCARTA_MITR_PATHWAY                    SET       5     -0.31455   -0.0051987      0.40585      0.78083 BIOCARTA_MITR_PATHWAY
BIOCARTA_CIRCADIAN_PATHWAY               SET       6      -0.2544   -0.0046058      0.43463      0.72083 BIOCARTA_CIRCADIAN_PATHWAY
BIOCARTA_RECK_PATHWAY                    SET       8     -0.72941    -0.015248      0.40402      0.96448 BIOCARTA_RECK_PATHWAY
BIOCARTA_MSP_PATHWAY                     SET       6     -0.17351   -0.0031413      0.30712      0.71394 BIOCARTA_MSP_PATHWAY
BIOCARTA_SLRP_PATHWAY                    SET       5      0.29497    0.0048753       0.5982      0.31097 BIOCARTA_SLRP_PATHWAY
BIOCARTA_ALTERNATIVE_PATHWAY             SET       7    -0.095814   -0.0018736      0.29167      0.62873 BIOCARTA_ALTERNATIVE_PATHWAY
BIOCARTA_FOSB_PATHWAY                    SET       5     -0.17867    -0.002953      0.34914      0.69558 BIOCARTA_FOSB_PATHWAY
BIOCARTA_NOTCH_PATHWAY                   SET       6    -0.099403   -0.0017997      0.28316      0.63722 BIOCARTA_NOTCH_PATHWAY
BIOCARTA_TUBBY_PATHWAY                   SET       4     -0.20179   -0.0029831      0.43662      0.67802 BIOCARTA_TUBBY_PATHWAY
BIOCARTA_MRP_PATHWAY                     SET       6      0.58711     0.010629      0.32575     0.035757 BIOCARTA_MRP_PATHWAY
BIOCARTA_DICER_PATHWAY                   SET       5     -0.11612   -0.0019192      0.37692      0.62099 BIOCARTA_DICER_PATHWAY
BIOCARTA_PLCD_PATHWAY                    SET       5     -0.52892   -0.0087417       0.4699      0.86982 BIOCARTA_PLCD_PATHWAY
BIOCARTA_RAN_PATHWAY                     SET       5     -0.34275   -0.0056648      0.38093      0.81587 BIOCARTA_RAN_PATHWAY
BIOCARTA_WNT_LRP6_PATHWAY                SET       6      0.47379    0.0085779      0.34071     0.082181 BIOCARTA_WNT_LRP6_PATHWAY
BIOCARTA_PEPI_PATHWAY                    SET       8      0.82399     0.017225         0.33    0.0062701 BIOCARTA_PEPI_PATHWAY
BIOCARTA_IFNG_PATHWAY                    SET       6     0.011212   0.00020299      0.31891      0.48598 BIOCARTA_IFNG_PATHWAY
BIOCARTA_BOTULIN_PATHWAY                 SET       5      -0.4631   -0.0076539      0.38126      0.88774 BIOCARTA_BOTULIN_PATHWAY
KEGG_N_GLYCAN_BIOSYNTHESIS               SET      45   -0.0039524  -0.00019576      0.11635      0.51355 KEGG_N_GLYCAN_BIOSYNTHESIS
KEGG_OTHER_GLYCAN_DEGRADATION            SET      16    -0.070193   -0.0020747      0.16859      0.66142 KEGG_OTHER_GLYCAN_DEGRADATION
KEGG_O_GLYCAN_BIOSYNTHESIS               SET      28      0.21609    0.0084463      0.17144      0.10377 KEGG_O_GLYCAN_BIOSYNTHESIS
KEGG_GLYCOSAMINOGLYCAN_DEGRA...          SET      20     -0.11147   -0.0036831      0.19551      0.71571 KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
KEGG_GLYCOSAMINOGLYCAN_BIOSY...3         SET      15      0.32249    0.0092294      0.20582     0.058584 KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE
KEGG_GLYCEROLIPID_METABOLISM             SET      46      0.20571     0.010301        0.127     0.052656 KEGG_GLYCEROLIPID_METABOLISM
KEGG_GLYCOSYLPHOSPHATIDYLINO...          SET      24       0.3358     0.012153      0.18064     0.031532 KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS
KEGG_GLYCEROPHOSPHOLIPID_MET...          SET      75      0.17606     0.011248     0.093596     0.029994 KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
KEGG_ETHER_LIPID_METABOLISM              SET      33     -0.10584   -0.0044906      0.14613      0.76555 KEGG_ETHER_LIPID_METABOLISM
